ano_mes;atendimentos
201401;2744
201402;5982
201403;8213
201404;13946
201405;36529
201406;16309
201407;9967
201408;9382
201409;14474
201410;15379
201411;16771
201412;7218
201501;3415
201502;5336
201503;8516
201504;14000
201505;13900
201506;10066
201507;9460
201508;14080
201509;18684
201510;18028
201511;35969
201512;11419
201601;4210
201602;4180
201603;5613
201604;8743
201605;16480
201606;10610
201607;13493
201608;13605
201609;11416
201610;9779
201611;9989
201612;4304
201701;4067
201702;7137
201703;9664
201704;9233
201705;17178
201706;10637
201707;16979
201708;13578
201709;13207
201710;21746
201711;12715
201712;6348
201801;4762
201802;5281
201803;7260
201804;10745
201805;13433
201806;7956
201807;14927
201808;14561
201809;15048
201810;7359
201811;10616
201812;4758
201901;3658
201902;8200
201903;11604
201904;9806
201905;15782
201906;8227
201907;10037
201908;13045
201909;18849
201910;33022
201911;26663
201912;8296
202001;4262
202002;7507
202003;9255
202004;10514
202005;36886
202006;9694
